sym,tf,dir,entry,sl,tp,rA,rB,has_idm,swept_entered,bh_a,bh_b,res_a,res_b
ETHUSDT,1h,BUY,2240.42,2209.8047364785984,2291.445439202336,1.1670874485846645,1.3611195738479933,True,True,120,120,False,False
ETHUSDT,1h,SELL,2308.04,2329.726137439419,2271.896437600969,0.0010821803183510411,-0.0,True,True,120,120,False,False
ETHUSDT,1h,SELL,2316.97,2330.841567086954,2293.8507215217437,-0.0381326921473189,-0.0,True,True,120,120,False,False
ETHUSDT,1h,SELL,2376.19,2401.622480424126,2333.8025326264565,-0.09586156200015243,-0.0,True,True,120,120,False,False
ETHUSDT,1h,BUY,2299.6,2275.8937699141266,2339.110383476456,-1.0,-0.9469316851935018,True,True,88,120,True,False
ETHUSDT,1h,BUY,2291.06,2270.0526287623084,2326.0722853961524,-1.0,-1.0,True,True,112,112,True,True
ETHUSDT,1h,BUY,2281.63,2261.418345873453,2315.3160902109125,1.4538076872721957,1.3904820450588857,True,True,120,120,False,False
ETHUSDT,1h,BUY,2281.35,2261.7756307886207,2313.973948685632,1.6666666666666667,1.6666666666666667,True,True,89,88,True,True
ETHUSDT,1h,SELL,2328.76,2348.6983316953365,2295.52944717444,-0.07321496034956088,-0.0,True,True,120,120,False,False
ETHUSDT,1h,BUY,2292.84,2273.028481464953,2325.859197558412,-1.0,-0.9061454272424562,True,True,116,120,True,False
ETHUSDT,1h,BUY,2276.59,2255.107022296384,2312.3949628393607,0.9790115698752608,0.8920323449881618,True,True,120,120,False,False
ETHUSDT,1h,BUY,2250.75,2225.68288884673,2292.528518588784,1.666666666666691,1.496255715124934,True,True,50,120,True,False
ETHUSDT,1h,BUY,2178.91,2161.5808634025966,2207.791894329005,-1.0,-0.9316576613635025,True,True,72,120,True,False
ETHUSDT,1h,BUY,2174.5,2160.461979782503,2197.896700362495,1.6666666666666559,1.5826900178905605,True,True,85,120,True,False
ETHUSDT,1h,BUY,2133.9,2114.035016667198,2167.00830555467,-1.0,-1.0,True,True,96,96,True,True
ETHUSDT,1h,BUY,2078.18,2056.637277795748,2114.0845370070865,-0.47039507338791753,-0.44409924323361516,True,True,120,120,False,False
ETHUSDT,1h,BUY,2068.93,2047.470282073208,2104.696196544653,-1.0,-0.9452985658035943,True,True,66,120,True,False
ETHUSDT,1h,BUY,2044.89,2026.672069465489,2075.253217557519,1.6666666666666707,1.6021915853237794,True,True,108,120,True,False
ETHUSDT,1h,SELL,2116.84,2145.040455186689,2069.839241355518,0.1430859563528793,-0.0,True,True,120,120,False,False
ETHUSDT,1h,BUY,2028.23,2004.7170577329557,2067.4182371117413,-1.0,-1.0,True,True,64,62,True,True
ETHUSDT,1h,BUY,1995.56,1970.8377092614844,2036.7638178975255,-1.0,-0.9002048360432808,True,True,107,120,True,False
ETHUSDT,1h,BUY,1994.04,1970.4639176795447,2033.3334705340912,-1.0,-0.8404120058670855,True,True,112,120,True,False
ETHUSDT,1h,BUY,1993.62,1969.1213565069452,2034.451072488424,0.8021395578567567,0.8620288194386262,True,True,120,120,False,False
ETHUSDT,1h,BUY,1873.45,1837.811487225428,1932.8475212909532,-0.11643489529370206,-0.0070356839273237465,True,True,120,120,False,False
ETHUSDT,1h,BUY,1832.25,1802.1599590514256,1882.400068247624,-0.1500386897152572,-0.12067864513795991,True,True,120,120,False,False
ETHUSDT,1h,BUY,1850.1,1810.3522576661744,1916.3462372230424,-1.0,-1.0,True,True,58,47,True,True
ETHUSDT,1h,BUY,1679.21,1633.4678759093752,1755.446873484375,-1.0,-1.0,True,True,87,87,True,True
ETHUSDT,1h,BUY,1682.72,1638.351969534104,1756.66671744316,-1.0,-0.8227369008539145,True,True,33,120,True,False
ETHUSDT,1h,BUY,1608.49,1558.8197301219036,1691.2737831301606,-0.6530406699937045,-0.535402636398216,True,True,120,120,False,False
ETHUSDT,1h,BUY,1574.06,1522.3238199992063,1660.2869666679894,-0.0888867483354425,-0.04277829270939593,True,True,120,120,False,False
ETHUSDT,1h,BUY,1566.71,1514.8237822385804,1653.187029602366,1.4403036031728116,1.2419911871919895,True,True,120,120,False,False
ETHUSDT,1h,SELL,1633.52,1663.3340446387062,1583.8299256021562,0.07616072293836096,-0.0,True,True,120,120,False,False
ETHUSDT,1h,SELL,1683.9,1717.7236923075816,1627.5271794873645,0.07336211530514457,-0.0,True,True,120,120,False,False
SOLUSDT,1h,BUY,81.0,79.37094404690413,83.71509325515979,-0.3737180328768285,-0.29819749614940017,True,True,120,120,False,False
SOLUSDT,1h,BUY,81.26,79.7862733736888,83.71621104385201,-1.0,-1.0,True,True,102,101,True,True
SOLUSDT,1h,BUY,79.81,77.82424209174907,83.11959651375156,-1.0,-1.0,True,True,25,24,True,True
SOLUSDT,1h,BUY,77.34,75.63361254011905,80.18397909980159,1.2139381505890894,1.0535239979859379,True,True,120,120,False,False
SOLUSDT,1h,SELL,84.33,85.92818739288525,81.66635434519125,0.12037388713343192,-0.0,True,True,120,120,False,False
SOLUSDT,1h,SELL,84.89,86.33653888563006,82.47910185728323,0.04702951173270658,-0.0,True,True,120,120,False,False
SOLUSDT,1h,SELL,84.83,86.15716873301776,82.61805211163707,-0.04530302145113414,-0.0,True,True,120,120,False,False
SOLUSDT,1h,SELL,85.83,86.99815509947076,83.88307483421538,-0.12860743485890358,-0.0,True,True,120,120,False,False
SOLUSDT,1h,SELL,86.42,87.69103679495184,84.30160534174695,0.11340236304334131,-0.0,True,True,120,120,False,False
SOLUSDT,1h,SELL,88.06,89.35220907980155,85.90631820033076,0.09655410582543564,-0.0,True,True,120,120,False,False
SOLUSDT,1h,SELL,89.67,91.2984246326728,86.95595894554536,-0.09772945435540317,-0.0,True,True,120,120,False,False
SOLUSDT,1h,BUY,81.32,79.8247061616474,83.81215639725431,-0.930449549733474,-0.9188742152271414,True,True,120,120,False,False
SOLUSDT,1h,SELL,86.13,87.17557311701901,84.38737813830163,-0.07315956370815031,-0.0,True,True,120,120,False,False
SOLUSDT,1h,BUY,83.22,82.37182515051899,84.63362474913501,-1.0,-1.0,True,True,24,23,True,True
SOLUSDT,1h,BUY,79.09,77.71863432411978,81.37560945980037,-1.0,-1.0,True,True,44,44,True,True
SOLUSDT,1h,BUY,76.84,75.33545025637574,79.34758290604046,1.666666666666673,1.551422938198919,True,True,110,120,True,False
SOLUSDT,1h,SELL,81.3,82.88133839222706,78.66443601295488,0.041509683491491076,-0.0,True,True,120,120,False,False
SOLUSDT,1h,SELL,88.2,90.20982378864844,84.85029368558595,0.0936874517645476,-0.0,True,True,120,120,False,False
SOLUSDT,1h,SELL,87.76,89.70692341970138,84.51512763383103,0.0015686788759514503,-0.0,True,True,120,120,False,False
SOLUSDT,1h,BUY,82.7,81.00768513350766,85.52052477748722,-1.0,-0.9412580401405702,True,True,99,120,True,False
