sym,tf,dir,entry,sl,tp,rA,rB,has_ob,filled_ob,bh_a,bh_b,res_a,res_b
ETHUSDT,1h,BUY,1994.04,1970.4639176795447,2033.3334705340912,-1.0,-1.0,True,True,106,106,True,True
ETHUSDT,1h,BUY,1993.62,1969.1213565069452,2034.451072488424,1.1803406401123944,1.3210182641508437,True,True,120,120,False,False
ETHUSDT,1h,BUY,1873.45,1837.811487225428,1932.8475212909532,-0.3529839580698312,-0.35409664941664065,True,True,120,120,False,False
ETHUSDT,1h,BUY,1832.25,1802.1599590514256,1882.400068247624,-0.42412931104738316,-0.5224994140289031,True,True,120,120,False,False
ETHUSDT,1h,BUY,1850.1,1810.3522576661744,1916.3462372230424,-1.0,-1.0,True,True,47,47,True,True
ETHUSDT,1h,BUY,1679.21,1633.4678759093752,1755.446873484375,-1.0,-1.0,True,True,87,87,True,True
ETHUSDT,1h,BUY,1682.72,1638.351969534104,1756.66671744316,-1.0,-1.0,True,True,33,33,True,True
ETHUSDT,1h,BUY,1608.49,1558.8197301219036,1691.2737831301606,-0.7779474979414038,-0.7564850662416527,True,True,120,120,False,False
ETHUSDT,1h,BUY,1574.06,1522.3238199992063,1660.2869666679894,-0.34501630974169956,-0.43068007940245584,True,True,120,120,False,False
ETHUSDT,1h,BUY,1566.71,1514.8237822385804,1653.187029602366,1.6666666666666652,1.6666666666666652,True,True,114,114,True,True
ETHUSDT,1h,SELL,1633.52,1663.3340446387062,1583.8299256021562,0.07560302955818131,0.07560302955818131,True,True,120,120,False,False
ETHUSDT,1h,SELL,1683.9,1717.7236923075816,1627.5271794873645,0.07429160427211157,0.07429160427211157,True,True,120,120,False,False
SOLUSDT,1h,BUY,81.0,79.37094404690413,83.71509325515979,-0.5596749359886269,-0.5669946227764694,True,True,120,120,False,False
SOLUSDT,1h,BUY,81.26,79.7862733736888,83.71621104385201,-1.0,-1.0,True,True,95,95,True,True
SOLUSDT,1h,BUY,79.81,77.82424209174907,83.11959651375156,-1.0,-1.0,True,True,24,24,True,True
SOLUSDT,1h,BUY,77.34,75.63361254011905,80.18397909980159,1.6666666666666612,1.6666666666666612,True,True,107,107,True,True
SOLUSDT,1h,SELL,84.33,85.92818739288525,81.66635434519125,0.11981619375324468,0.11981619375324468,True,True,120,120,False,False
SOLUSDT,1h,SELL,84.89,86.33653888563006,82.47910185728323,0.046471818352528525,0.046471818352528525,True,True,120,120,False,False
SOLUSDT,1h,SELL,84.83,86.15716873301776,82.61805211163707,-0.045860714831311135,-0.04586071483130092,True,True,120,120,False,False
SOLUSDT,1h,SELL,85.83,86.99815509947076,83.88307483421538,-0.12916512823908655,-0.12916512823908655,True,True,120,120,False,False
SOLUSDT,1h,SELL,86.42,87.69103679495184,84.30160534174695,0.11284466966316056,0.11284466966314813,True,True,120,120,False,False
SOLUSDT,1h,SELL,88.06,89.35220907980155,85.90631820033076,0.09599641244525407,0.09599641244525407,True,True,120,120,False,False
SOLUSDT,1h,SELL,89.67,91.2984246326728,86.95595894554536,-0.09679996538843884,-0.09679996538843884,True,True,120,120,False,False
SOLUSDT,1h,BUY,81.32,79.8247061616474,83.81215639725431,-1.0,-1.0,True,True,117,117,True,True
SOLUSDT,1h,SELL,86.13,87.17557311701901,84.38737813830163,-0.07223007474118136,-0.07223007474118136,True,True,120,120,False,False
SOLUSDT,1h,BUY,83.22,82.37182515051899,84.63362474913501,-1.0,-1.0,True,True,24,24,True,True
SOLUSDT,1h,BUY,79.09,77.71863432411978,81.37560945980037,-1.0,-1.0,True,True,44,44,True,True
SOLUSDT,1h,BUY,76.84,75.33545025637574,79.34758290604046,1.666666666666673,1.666666666666673,True,True,102,102,True,True
SOLUSDT,1h,SELL,81.3,82.88133839222706,78.66443601295488,0.04095199011131438,0.04095199011131438,True,True,120,120,False,False
SOLUSDT,1h,SELL,88.2,90.20982378864844,84.85029368558595,0.09461694073151157,0.09461694073151157,True,True,120,120,False,False
SOLUSDT,1h,SELL,87.76,89.70692341970138,84.51512763383103,0.00249816784291913,0.00249816784291913,True,True,120,120,False,False
SOLUSDT,1h,BUY,82.7,81.00768513350766,85.52052477748722,-1.0,-1.0,True,True,97,97,True,True
SOLUSDT,1h,BUY,81.43,79.87312796708241,84.02478672152934,-0.796208762969383,-0.8580499992245247,True,True,120,120,False,False
